task_id,title,description,created_by,assigned_to,category,created_at,due_date,est_duration_minutes,actual_duration_minutes,priority_level,priority_score,completed_on_time,urgency_keywords,creator_role,status
49,Design task #49,Urgently work on design for project #43.,user_2,user_6,Design,2025-09-22,2025-09-24,428,474,High,75.15,True,Yes,Developer,Done
50,Design task #50, work on design for project #44.,user_6,user_7,Design,2025-09-18,2025-09-21,158,235,Low,13.55,True,No,Developer,Done
51,Development task #51,Urgently work on development for project #14.,user_3,user_10,Development,2025-09-13,2025-09-22,60,107,High,74.86,True,Yes,Developer,Done
52,Design task #52, work on design for project #48.,user_10,user_10,Design,2025-09-15,2025-09-23,286,310,Low,34.22,True,No,Developer,Done
53,Documentation task #53,Kindly work on documentation for project #13.,user_2,user_5,Documentation,2025-09-03,2025-09-07,404,453,Low,29.85,True,No,Developer,Done
54,Documentation task #54, work on documentation for project #27.,user_1,user_1,Documentation,2025-09-16,2025-09-26,453,441,Medium,49.18,True,No,Team Lead,Done
55,Development task #55,Please work on development for project #49.,user_10,user_4,Development,2025-09-16,2025-09-23,184,191,Medium,55.46,True,No,QA Engineer,Done
56,Bug Fixing task #56,Kindly work on bug fixing for project #8.,user_7,user_4,Bug Fixing,2025-09-26,2025-10-05,297,279,Medium,53.97,True,No,Team Lead,Done
57,Design task #57, work on design for project #36.,user_3,user_8,Design,2025-09-25,2025-10-03,373,472,Low,27.41,True,No,Developer,Done
58,Design task #58, work on design for project #41.,user_3,user_8,Design,2025-09-09,2025-09-13,386,426,Low,35.36,True,No,QA Engineer,Done
59,Documentation task #59,Urgently work on documentation for project #21.,user_5,user_8,Documentation,2025-09-23,2025-09-28,180,219,High,74.97,True,Yes,Manager,Done
60,Testing task #60,Kindly work on testing for project #5.,user_2,user_3,Testing,2025-09-08,2025-09-15,415,424,Medium,54.63,True,No,Team Lead,Done
61,Design task #61, work on design for project #50.,user_7,user_6,Design,2025-09-14,2025-09-15,165,242,Low,32.81,True,No,QA Engineer,Done
62,Testing task #62, work on testing for project #27.,user_1,user_10,Testing,2025-09-16,2025-09-17,240,286,Low,37.22,True,No,QA Engineer,Done
63,Testing task #63, work on testing for project #2.,user_9,user_10,Testing,2025-09-16,2025-09-20,199,280,Low,23.4,True,No,Team Lead,Done
64,Design task #64,Please work on design for project #26.,user_6,user_7,Design,2025-09-27,2025-10-05,125,231,Low,22.06,True,No,Team Lead,Done
65,Testing task #65,Kindly work on testing for project #4.,user_10,user_1,Testing,2025-09-21,2025-09-28,129,217,Medium,52.19,True,No,Manager,Done
66,Meeting task #66,Urgently work on meeting for project #49.,user_7,user_6,Meeting,2025-09-15,2025-09-21,232,299,High,90.34,True,Yes,Team Lead,Done
67,Design task #67,Kindly work on design for project #42.,user_5,user_2,Design,2025-09-01,2025-09-10,86,145,Low,38.92,True,No,QA Engineer,Done
68,Bug Fixing task #68,Kindly work on bug fixing for project #9.,user_1,user_1,Bug Fixing,2025-09-07,2025-09-08,378,387,Medium,55.05,True,No,Team Lead,Done
69,Design task #69,Kindly work on design for project #39.,user_2,user_10,Design,2025-09-15,2025-09-20,452,516,Medium,45.42,True,No,Team Lead,Done
70,Testing task #70, work on testing for project #26.,user_2,user_3,Testing,2025-09-04,2025-09-14,73,122,Low,30.32,True,No,Developer,Done
71,Development task #71,Please work on development for project #23.,user_4,user_2,Development,2025-09-04,2025-09-09,410,410,Medium,45.42,True,No,Team Lead,Done
72,Testing task #72, work on testing for project #7.,user_7,user_6,Testing,2025-09-17,2025-09-23,66,143,Medium,63.07,True,No,Manager,Done
73,Design task #73,Urgently work on design for project #40.,user_6,user_8,Design,2025-09-14,2025-09-17,435,538,Medium,69.46,True,Yes,Team Lead,Done
74,Testing task #74,Kindly work on testing for project #6.,user_8,user_8,Testing,2025-09-27,2025-10-07,197,249,Medium,63.47,True,No,QA Engineer,Done
75,Meeting task #75,Urgently work on meeting for project #2.,user_8,user_4,Meeting,2025-09-19,2025-09-29,402,469,Low,30.7,True,Yes,QA Engineer,Done
76,Design task #76,Urgently work on design for project #18.,user_6,user_3,Design,2025-09-07,2025-09-13,468,504,High,82.33,True,Yes,QA Engineer,Done
77,Testing task #77, work on testing for project #32.,user_5,user_9,Testing,2025-09-17,2025-09-21,103,134,Medium,41.31,True,No,Manager,Done
78,Testing task #78,Kindly work on testing for project #26.,user_4,user_8,Testing,2025-09-15,2025-09-16,107,152,Low,35.51,True,No,QA Engineer,Done
79,Development task #79, work on development for project #48.,user_4,user_5,Development,2025-09-16,2025-09-25,331,389,Medium,41.38,True,No,Developer,Done
80,Testing task #80,Please work on testing for project #47.,user_6,user_6,Testing,2025-09-09,2025-09-14,188,217,Low,10.19,True,No,QA Engineer,Done
81,Documentation task #81,Urgently work on documentation for project #47.,user_6,user_2,Documentation,2025-09-07,2025-09-11,438,531,Medium,66.7,True,Yes,Team Lead,Done
82,Testing task #82,Urgently work on testing for project #12.,user_9,user_10,Testing,2025-09-04,2025-09-08,211,239,High,75.36,True,Yes,Developer,Done
83,Meeting task #83,Urgently work on meeting for project #45.,user_1,user_9,Meeting,2025-09-09,2025-09-10,87,198,High,92.17,True,Yes,Team Lead,Done
84,Documentation task #84, work on documentation for project #22.,user_8,user_2,Documentation,2025-09-19,2025-09-24,300,392,Low,32.23,True,No,Manager,Done
85,Documentation task #85,Please work on documentation for project #37.,user_1,user_5,Documentation,2025-09-04,2025-09-06,265,360,Low,27.87,True,No,QA Engineer,Done
86,Development task #86,Kindly work on development for project #8.,user_1,user_3,Development,2025-09-26,2025-10-06,215,206,Low,32.47,True,No,Team Lead,Done
87,Testing task #87, work on testing for project #20.,user_7,user_10,Testing,2025-09-25,2025-10-04,254,339,Medium,53.73,True,No,Team Lead,Done
88,Testing task #88,Kindly work on testing for project #17.,user_7,user_5,Testing,2025-09-20,2025-09-22,450,473,Medium,44.93,True,No,Manager,Done
89,Development task #89,Please work on development for project #27.,user_2,user_3,Development,2025-09-06,2025-09-15,98,108,Low,32.05,True,No,Team Lead,Done
90,Design task #90, work on design for project #5.,user_10,user_8,Design,2025-09-02,2025-09-06,207,249,Medium,47.7,True,No,Developer,Done
91,Development task #91,Kindly work on development for project #18.,user_4,user_5,Development,2025-09-14,2025-09-16,338,365,Medium,41.46,True,No,Team Lead,Done
92,Documentation task #92,Urgently work on documentation for project #29.,user_2,user_1,Documentation,2025-09-26,2025-10-01,364,479,High,84.53,True,Yes,Team Lead,Done
93,Bug Fixing task #93, work on bug fixing for project #6.,user_8,user_5,Bug Fixing,2025-09-09,2025-09-18,336,432,Low,29.47,True,No,QA Engineer,Done
94,Testing task #94,Kindly work on testing for project #44.,user_1,user_7,Testing,2025-09-20,2025-09-25,73,66,Low,35.09,True,No,Developer,Done
95,Testing task #95, work on testing for project #34.,user_10,user_1,Testing,2025-09-19,2025-09-20,450,464,Low,34.12,True,No,Developer,Done
96,Development task #96,Please work on development for project #31.,user_8,user_5,Development,2025-09-19,2025-09-26,385,480,Low,18.05,True,No,Team Lead,Done
97,Meeting task #97, work on meeting for project #45.,user_7,user_6,Meeting,2025-09-22,2025-09-24,142,196,Medium,44.44,True,No,Developer,Done
98,Design task #98,Urgently work on design for project #8.,user_5,user_7,Design,2025-09-15,2025-09-17,221,255,High,73.92,True,Yes,Manager,Done
99,Design task #99,Urgently work on design for project #40.,user_9,user_1,Design,2025-09-14,2025-09-15,156,258,High,70.08,True,Yes,QA Engineer,Done
100,Design task #100, work on design for project #45.,user_8,user_1,Design,2025-09-09,2025-09-18,127,170,Low,36.48,True,No,Team Lead,Done
101,Design task #101,Please work on design for project #36.,user_2,user_1,Design,2025-09-23,2025-09-26,219,330,Low,18.77,True,No,Team Lead,Done
102,Design task #102, work on design for project #46.,user_2,user_4,Design,2025-09-15,2025-09-17,391,400,Low,33.69,True,No,Manager,Done
103,Meeting task #103, work on meeting for project #36.,user_9,user_5,Meeting,2025-09-27,2025-10-05,301,333,Low,34.86,True,No,QA Engineer,Done
104,Documentation task #104,Urgently work on documentation for project #33.,user_7,user_4,Documentation,2025-09-28,2025-09-30,201,277,Medium,57.97,True,Yes,Team Lead,Done
105,Meeting task #105,Kindly work on meeting for project #29.,user_1,user_5,Meeting,2025-09-27,2025-10-07,356,451,Low,37.58,True,No,Developer,Done
106,Testing task #106,Urgently work on testing for project #13.,user_8,user_6,Testing,2025-09-18,2025-09-27,253,339,High,76.06,True,Yes,Developer,Done
107,Development task #107, work on development for project #46.,user_4,user_10,Development,2025-09-08,2025-09-15,82,133,Medium,68.29,True,No,QA Engineer,Done
108,Design task #108,Please work on design for project #29.,user_7,user_3,Design,2025-09-02,2025-09-05,317,371,Medium,42.62,True,No,QA Engineer,Done
109,Bug Fixing task #109,Please work on bug fixing for project #31.,user_9,user_8,Bug Fixing,2025-09-24,2025-09-27,269,278,Medium,43.86,True,No,Manager,Done
110,Meeting task #110, work on meeting for project #21.,user_6,user_10,Meeting,2025-09-21,2025-09-23,228,334,Low,38.88,True,No,QA Engineer,Done
111,Development task #111,Kindly work on development for project #48.,user_8,user_9,Development,2025-09-20,2025-09-22,180,223,Low,11.22,True,No,Manager,Done
112,Bug Fixing task #112,Please work on bug fixing for project #3.,user_7,user_2,Bug Fixing,2025-09-15,2025-09-18,415,461,Low,39.6,True,No,Manager,Done
113,Meeting task #113, work on meeting for project #37.,user_1,user_5,Meeting,2025-09-12,2025-09-19,134,166,Medium,40.9,True,No,Developer,Done
114,Development task #114, work on development for project #38.,user_3,user_3,Development,2025-09-03,2025-09-13,255,286,High,76.95,True,No,Team Lead,Done
115,Documentation task #115, work on documentation for project #19.,user_4,user_8,Documentation,2025-09-15,2025-09-20,401,373,Low,37.11,True,No,Developer,Done
116,Development task #116, work on development for project #45.,user_9,user_3,Development,2025-09-15,2025-09-21,360,406,Medium,44.52,True,No,Manager,Done
117,Meeting task #117, work on meeting for project #37.,user_8,user_5,Meeting,2025-09-13,2025-09-21,114,144,Low,39.48,True,No,Team Lead,Done
118,Meeting task #118,Please work on meeting for project #39.,user_10,user_5,Meeting,2025-09-01,2025-09-08,200,172,Low,22.47,True,No,Developer,Done
119,Development task #119,Urgently work on development for project #44.,user_8,user_5,Development,2025-09-20,2025-09-26,172,190,High,87.14,True,Yes,Team Lead,Done
120,Development task #120,Urgently work on development for project #47.,user_3,user_2,Development,2025-09-10,2025-09-18,77,195,High,81.28,True,Yes,Manager,Done
121,Documentation task #121,Kindly work on documentation for project #35.,user_2,user_5,Documentation,2025-09-24,2025-10-01,149,170,Medium,51.87,True,No,Developer,Done
122,Meeting task #122,Urgently work on meeting for project #48.,user_9,user_9,Meeting,2025-09-27,2025-09-30,191,284,Medium,56.36,True,Yes,Developer,Done
123,Meeting task #123,Urgently work on meeting for project #6.,user_2,user_8,Meeting,2025-09-05,2025-09-09,406,477,High,91.04,True,Yes,Manager,Done
124,Design task #124, work on design for project #41.,user_1,user_5,Design,2025-09-15,2025-09-21,404,441,Low,18.97,True,No,Manager,Done
125,Meeting task #125,Kindly work on meeting for project #42.,user_2,user_4,Meeting,2025-09-01,2025-09-11,347,400,Medium,48.8,True,No,QA Engineer,Done
126,Bug Fixing task #126,Urgently work on bug fixing for project #32.,user_8,user_5,Bug Fixing,2025-09-04,2025-09-07,83,62,High,100.0,True,Yes,QA Engineer,Done
127,Bug Fixing task #127, work on bug fixing for project #38.,user_2,user_4,Bug Fixing,2025-09-13,2025-09-21,249,357,Low,25.14,True,No,Team Lead,Done
128,Development task #128,Urgently work on development for project #3.,user_3,user_7,Development,2025-09-27,2025-10-05,375,449,Medium,61.51,True,Yes,Manager,Done
129,Development task #129,Urgently work on development for project #35.,user_6,user_4,Development,2025-09-15,2025-09-19,245,240,High,71.49,True,Yes,QA Engineer,Done
130,Development task #130,Please work on development for project #43.,user_6,user_1,Development,2025-09-09,2025-09-13,122,208,Low,32.45,True,No,QA Engineer,Done
131,Documentation task #131,Kindly work on documentation for project #5.,user_10,user_1,Documentation,2025-09-26,2025-10-02,184,186,Low,16.74,True,No,Manager,Done
132,Testing task #132,Please work on testing for project #18.,user_4,user_10,Testing,2025-09-27,2025-10-01,228,235,Medium,41.03,True,No,Team Lead,Done
133,Documentation task #133,Kindly work on documentation for project #1.,user_3,user_9,Documentation,2025-09-26,2025-09-29,116,92,Low,24.07,True,No,Developer,Done
134,Meeting task #134,Kindly work on meeting for project #48.,user_4,user_10,Meeting,2025-09-01,2025-09-04,195,178,Medium,47.1,True,No,Developer,Done
135,Design task #135,Please work on design for project #29.,user_9,user_2,Design,2025-09-16,2025-09-24,458,520,Low,26.21,True,No,Manager,Done
136,Testing task #136,Please work on testing for project #4.,user_4,user_10,Testing,2025-09-24,2025-10-03,214,301,Medium,63.25,True,No,Manager,Done
137,Design task #137,Urgently work on design for project #39.,user_7,user_7,Design,2025-09-16,2025-09-24,97,87,Medium,58.25,True,Yes,Manager,Done
138,Documentation task #138, work on documentation for project #39.,user_2,user_3,Documentation,2025-09-20,2025-09-30,340,393,Low,35.17,True,No,Developer,Done
139,Testing task #139,Kindly work on testing for project #28.,user_5,user_8,Testing,2025-09-04,2025-09-06,395,506,Medium,52.2,True,No,QA Engineer,Done
140,Design task #140,Please work on design for project #21.,user_4,user_7,Design,2025-09-27,2025-10-05,264,340,Low,21.54,True,No,Developer,Done
141,Design task #141,Please work on design for project #6.,user_6,user_5,Design,2025-09-05,2025-09-13,94,87,Medium,43.41,True,No,Developer,Done
142,Design task #142,Urgently work on design for project #43.,user_2,user_6,Design,2025-09-18,2025-09-19,360,473,High,89.61,True,Yes,Team Lead,Done
143,Bug Fixing task #143,Urgently work on bug fixing for project #7.,user_7,user_6,Bug Fixing,2025-09-28,2025-09-29,207,256,Medium,45.89,True,Yes,QA Engineer,Done
144,Testing task #144,Urgently work on testing for project #36.,user_9,user_4,Testing,2025-09-22,2025-09-30,174,171,High,72.77,True,Yes,Team Lead,Done
145,Meeting task #145,Please work on meeting for project #39.,user_2,user_5,Meeting,2025-09-26,2025-10-03,347,459,Medium,43.9,True,No,Team Lead,Done
146,Development task #146,Please work on development for project #12.,user_5,user_1,Development,2025-09-09,2025-09-14,233,292,Medium,51.73,True,No,Team Lead,Done
147,Documentation task #147,Kindly work on documentation for project #25.,user_10,user_7,Documentation,2025-09-05,2025-09-06,106,211,Low,21.45,True,No,Manager,Done
148,Design task #148,Please work on design for project #4.,user_8,user_6,Design,2025-09-12,2025-09-17,429,482,Low,20.19,True,No,Team Lead,Done
149,Documentation task #149, work on documentation for project #32.,user_3,user_10,Documentation,2025-09-22,2025-09-24,199,282,Medium,47.83,True,No,Manager,Done
150,Testing task #150, work on testing for project #8.,user_8,user_7,Testing,2025-09-07,2025-09-16,118,176,Medium,44.45,True,No,Developer,Done
151,Meeting task #151,Please work on meeting for project #14.,user_10,user_8,Meeting,2025-09-02,2025-09-06,262,246,Medium,43.76,True,No,Developer,Done
152,Meeting task #152, work on meeting for project #48.,user_4,user_3,Meeting,2025-09-10,2025-09-16,121,92,Medium,45.2,True,No,Developer,Done
153,Design task #153,Urgently work on design for project #5.,user_3,user_3,Design,2025-09-18,2025-09-22,316,429,Medium,59.8,True,Yes,QA Engineer,Done
154,Design task #154, work on design for project #37.,user_1,user_7,Design,2025-09-15,2025-09-17,220,337,Medium,43.48,True,No,Manager,Done
155,Design task #155, work on design for project #45.,user_7,user_5,Design,2025-09-13,2025-09-14,226,239,Medium,44.4,True,No,Manager,Done
156,Meeting task #156,Please work on meeting for project #26.,user_2,user_7,Meeting,2025-09-08,2025-09-15,361,433,Low,29.28,True,No,Manager,Done
157,Meeting task #157,Please work on meeting for project #34.,user_6,user_4,Meeting,2025-09-25,2025-09-28,99,199,Medium,67.99,True,No,Developer,Done
158,Testing task #158,Kindly work on testing for project #17.,user_4,user_6,Testing,2025-09-24,2025-09-27,180,176,Medium,47.11,True,No,Developer,Done
159,Documentation task #159, work on documentation for project #49.,user_3,user_10,Documentation,2025-09-25,2025-09-27,150,246,Low,22.13,True,No,Team Lead,Done
160,Testing task #160,Please work on testing for project #31.,user_10,user_8,Testing,2025-09-28,2025-10-04,137,219,Medium,49.85,True,No,Developer,Done
161,Design task #161, work on design for project #29.,user_5,user_5,Design,2025-09-12,2025-09-21,97,146,Low,25.38,True,No,Manager,Done
162,Bug Fixing task #162, work on bug fixing for project #30.,user_1,user_6,Bug Fixing,2025-09-03,2025-09-05,374,473,Medium,51.81,True,No,Developer,Done
163,Testing task #163,Urgently work on testing for project #39.,user_9,user_1,Testing,2025-09-30,2025-10-10,393,411,High,87.38,True,Yes,QA Engineer,Done
164,Design task #164,Please work on design for project #33.,user_9,user_3,Design,2025-09-15,2025-09-17,475,532,Low,27.69,True,No,Manager,Done
165,Development task #165,Kindly work on development for project #24.,user_3,user_1,Development,2025-09-23,2025-10-01,284,388,Medium,54.45,True,No,Team Lead,Done
166,Meeting task #166,Urgently work on meeting for project #5.,user_5,user_7,Meeting,2025-09-25,2025-10-01,407,390,High,76.19,True,Yes,QA Engineer,Done
167,Meeting task #167,Urgently work on meeting for project #6.,user_2,user_9,Meeting,2025-09-10,2025-09-15,430,438,High,82.33,True,Yes,QA Engineer,Done
168,Testing task #168,Urgently work on testing for project #36.,user_3,user_6,Testing,2025-09-21,2025-09-28,126,117,High,98.45,True,Yes,Developer,Done
169,Design task #169,Please work on design for project #24.,user_6,user_3,Design,2025-09-21,2025-09-28,320,382,Low,36.32,True,No,Manager,Done
170,Meeting task #170,Kindly work on meeting for project #10.,user_3,user_4,Meeting,2025-09-25,2025-10-03,158,185,Low,28.69,True,No,Developer,Done
171,Bug Fixing task #171, work on bug fixing for project #10.,user_5,user_2,Bug Fixing,2025-09-22,2025-09-28,452,455,Low,26.66,True,No,Manager,Done
172,Documentation task #172,Urgently work on documentation for project #44.,user_3,user_10,Documentation,2025-09-24,2025-10-02,82,157,Medium,57.76,True,Yes,Team Lead,Done
173,Development task #173,Kindly work on development for project #20.,user_4,user_8,Development,2025-09-25,2025-10-03,179,285,Low,38.84,True,No,Developer,Done
174,Design task #174, work on design for project #11.,user_4,user_6,Design,2025-09-15,2025-09-20,458,525,Medium,45.12,True,No,QA Engineer,Done
175,Documentation task #175,Please work on documentation for project #46.,user_10,user_3,Documentation,2025-09-02,2025-09-10,250,361,Medium,44.15,True,No,Developer,Done
176,Testing task #176,Kindly work on testing for project #28.,user_2,user_5,Testing,2025-09-25,2025-09-28,199,284,Medium,52.41,True,No,Manager,Done
177,Bug Fixing task #177, work on bug fixing for project #33.,user_4,user_8,Bug Fixing,2025-09-30,2025-10-01,272,255,Medium,40.2,True,No,Developer,Done
178,Meeting task #178,Please work on meeting for project #46.,user_4,user_7,Meeting,2025-09-12,2025-09-16,74,125,Medium,61.8,True,No,Manager,Done
179,Development task #179, work on development for project #29.,user_6,user_3,Development,2025-09-02,2025-09-07,301,306,Low,36.03,True,No,Team Lead,Done
180,Testing task #180, work on testing for project #8.,user_1,user_2,Testing,2025-09-09,2025-09-13,136,246,High,80.8,True,No,Manager,Done
181,Meeting task #181,Please work on meeting for project #8.,user_4,user_5,Meeting,2025-09-02,2025-09-06,274,361,Medium,49.39,True,No,Manager,Done
182,Design task #182,Kindly work on design for project #19.,user_10,user_9,Design,2025-09-21,2025-09-30,354,385,Low,27.14,True,No,Manager,Done
183,Design task #183,Please work on design for project #34.,user_1,user_10,Design,2025-09-08,2025-09-18,273,290,Low,23.94,True,No,Developer,Done
184,Meeting task #184,Urgently work on meeting for project #17.,user_2,user_9,Meeting,2025-09-13,2025-09-21,82,151,High,77.24,True,Yes,Manager,Done
185,Development task #185,Urgently work on development for project #9.,user_1,user_6,Development,2025-09-12,2025-09-16,435,431,Medium,66.65,True,Yes,Manager,Done
186,Bug Fixing task #186, work on bug fixing for project #41.,user_6,user_9,Bug Fixing,2025-09-27,2025-09-30,458,546,Medium,50.71,True,No,Developer,Done
187,Documentation task #187,Kindly work on documentation for project #3.,user_3,user_2,Documentation,2025-09-02,2025-09-07,163,144,Medium,47.1,True,No,QA Engineer,Done
188,Meeting task #188,Please work on meeting for project #49.,user_5,user_9,Meeting,2025-09-27,2025-10-06,302,336,Low,38.91,True,No,QA Engineer,Done
189,Development task #189,Urgently work on development for project #8.,user_4,user_5,Development,2025-09-28,2025-09-29,395,449,Medium,57.3,True,Yes,Developer,Done
190,Meeting task #190, work on meeting for project #45.,user_7,user_7,Meeting,2025-09-29,2025-10-06,233,250,Low,17.28,True,No,QA Engineer,Done
191,Design task #191,Please work on design for project #28.,user_6,user_9,Design,2025-09-26,2025-09-28,432,510,Low,33.3,True,No,Developer,Done
