task_id,title,description,created_at,due_date,creator,assignee,priority,workload_hours,assignee_completed_tasks,assignee_avg_completion_days,status,days_to_due,is_overdue
22,Deploy microservice,Create responsive landing page for product X using Figma mockups.,2025-10-10 22:25:59.627850,2025-10-12 22:25:59.627850,charlie,alice,2,6,65,1.75,in_progress,2,1
23,Deploy microservice,Investigate new ML library for text embeddings and feasibility.,2025-08-22 22:25:59.627850,2025-09-10 22:25:59.627850,diana,bob,2,12,126,4.13,open,19,1
24,Design landing page,Create responsive landing page for product X using Figma mockups.,2025-09-25 22:25:59.627850,2025-10-09 22:25:59.627850,charlie,diana,0,4,124,4.39,open,14,1
25,Design landing page,User cannot login with social auth. Error 500 observed on POST /auth.,2025-09-08 22:25:59.627850,2025-09-19 22:25:59.627850,alice,bob,0,2,53,2.91,open,11,1
26,Optimize DB queries,Gather sales data and prepare report for stakeholders by Friday.,2025-08-31 22:25:59.627850,2025-09-15 22:25:59.627850,bob,alice,0,4,145,0.94,done,15,0
27,Research new lib,User cannot login with social auth. Error 500 observed on POST /auth.,2025-08-19 22:25:59.627850,2025-08-27 22:25:59.627850,bob,diana,0,4,128,1.46,in_progress,8,1
28,Fix login bug,Gather sales data and prepare report for stakeholders by Friday.,2025-09-07 22:25:59.627850,2025-09-08 22:25:59.627850,diana,charlie,2,12,121,1.78,done,1,0
29,Research new lib,Write unit tests for payment module to improve coverage.,2025-08-23 22:25:59.627850,2025-08-30 22:25:59.627850,charlie,bob,1,1,153,3.81,open,7,1
30,Customer email reply,User cannot login with social auth. Error 500 observed on POST /auth.,2025-08-17 22:25:59.627850,2025-09-05 22:25:59.627850,diana,bob,0,1,135,0.86,open,19,1
31,Design landing page,Plan sprint items and assign tasks to frontend/backend teams.,2025-08-18 22:25:59.627850,2025-08-26 22:25:59.627850,diana,alice,0,6,68,3.11,open,8,1
32,Plan sprint,Create responsive landing page for product X using Figma mockups.,2025-09-09 22:25:59.627850,2025-09-28 22:25:59.627850,charlie,charlie,0,2,176,3.72,open,19,1
33,Update dependencies,Optimize slow queries causing high CPU usage on replica DB.,2025-08-22 22:25:59.627850,2025-09-01 22:25:59.627850,diana,charlie,0,12,23,0.54,done,10,0
34,Plan sprint,Create responsive landing page for product X using Figma mockups.,2025-08-18 22:25:59.627850,2025-09-05 22:25:59.627850,bob,charlie,0,2,94,4.46,open,18,1
35,Customer email reply,Update package.json dependencies and run compatibility tests.,2025-08-24 22:25:59.627850,2025-09-08 22:25:59.627850,charlie,alice,0,8,146,1.85,done,15,0
36,Design landing page,Gather sales data and prepare report for stakeholders by Friday.,2025-08-30 22:25:59.627850,2025-09-03 22:25:59.627850,alice,bob,1,3,77,3.22,done,4,0
37,Customer email reply,Deploy new service to production cluster and monitor for errors.,2025-09-26 22:25:59.627850,2025-10-05 22:25:59.627850,diana,charlie,0,12,18,0.92,in_progress,9,1
38,Update dependencies,User cannot login with social auth. Error 500 observed on POST /auth.,2025-08-14 22:25:59.627850,2025-08-25 22:25:59.627850,bob,charlie,0,2,194,2.49,done,11,0
39,Optimize DB queries,Investigate new ML library for text embeddings and feasibility.,2025-08-14 22:25:59.627850,2025-08-18 22:25:59.627850,alice,bob,1,6,14,4.26,done,4,0
40,Research new lib,Gather sales data and prepare report for stakeholders by Friday.,2025-09-10 22:25:59.627850,2025-09-15 22:25:59.627850,alice,charlie,1,3,15,4.55,open,5,1
41,Deploy microservice,Create responsive landing page for product X using Figma mockups.,2025-09-05 22:25:59.627850,2025-09-23 22:25:59.627850,diana,bob,2,2,46,4.89,open,18,1
42,Optimize DB queries,User cannot login with social auth. Error 500 observed on POST /auth.,2025-08-25 22:25:59.627850,2025-09-05 22:25:59.627850,diana,bob,0,3,45,4.04,open,11,1
43,Optimize DB queries,User cannot login with social auth. Error 500 observed on POST /auth.,2025-10-07 22:25:59.627850,2025-10-23 22:25:59.627850,bob,bob,0,12,122,2.07,open,16,0
44,Deploy microservice,User cannot login with social auth. Error 500 observed on POST /auth.,2025-09-25 22:25:59.627850,2025-10-02 22:25:59.627850,diana,charlie,2,3,22,4.85,in_progress,7,1
45,Customer email reply,Investigate new ML library for text embeddings and feasibility.,2025-09-08 22:25:59.627850,2025-09-26 22:25:59.627850,charlie,alice,0,1,71,1.3,in_progress,18,1
46,Fix login bug,Create responsive landing page for product X using Figma mockups.,2025-09-21 22:25:59.627850,2025-10-05 22:25:59.627850,charlie,charlie,2,4,160,4.93,open,14,1
47,Optimize DB queries,Plan sprint items and assign tasks to frontend/backend teams.,2025-08-26 22:25:59.627850,2025-09-04 22:25:59.627850,alice,diana,0,1,138,4.67,done,9,0
48,Deploy microservice,Respond to important client email about billing dispute.,2025-09-10 22:25:59.627850,2025-09-13 22:25:59.627850,charlie,charlie,2,8,36,3.74,in_progress,3,1
49,Research new lib,Update package.json dependencies and run compatibility tests.,2025-09-25 22:25:59.627850,2025-10-09 22:25:59.627850,charlie,diana,0,8,80,2.99,open,14,1
50,Optimize DB queries,Optimize slow queries causing high CPU usage on replica DB.,2025-09-26 22:25:59.627850,2025-10-02 22:25:59.627850,charlie,diana,1,6,5,1.87,open,6,1
51,Optimize DB queries,Plan sprint items and assign tasks to frontend/backend teams.,2025-09-21 22:25:59.627850,2025-10-02 22:25:59.627850,diana,diana,0,4,177,1.46,in_progress,11,1
52,Prepare monthly report,Create responsive landing page for product X using Figma mockups.,2025-09-01 22:25:59.627850,2025-09-18 22:25:59.627850,charlie,alice,0,12,197,1.56,in_progress,17,1
53,Deploy microservice,Deploy new service to production cluster and monitor for errors.,2025-08-23 22:25:59.627850,2025-08-24 22:25:59.627850,alice,bob,2,4,161,4.32,open,1,1
54,Write unit tests,Optimize slow queries causing high CPU usage on replica DB.,2025-10-09 22:25:59.627850,2025-10-28 22:25:59.627850,bob,diana,0,4,107,1.6,done,19,0
55,Fix login bug,Create responsive landing page for product X using Figma mockups.,2025-10-02 22:25:59.627850,2025-10-16 22:25:59.627850,bob,bob,2,12,183,2.83,open,14,0
56,Research new lib,Deploy new service to production cluster and monitor for errors.,2025-10-11 22:25:59.627850,2025-10-15 22:25:59.627850,diana,bob,1,12,123,3.5,done,4,0
57,Plan sprint,Respond to important client email about billing dispute.,2025-10-13 22:25:59.627850,2025-10-28 22:25:59.627850,diana,diana,0,2,195,4.38,in_progress,15,0
58,Update dependencies,Deploy new service to production cluster and monitor for errors.,2025-10-06 22:25:59.627850,2025-10-15 22:25:59.627850,diana,bob,0,3,117,0.85,in_progress,9,0
59,Deploy microservice,Update package.json dependencies and run compatibility tests.,2025-09-04 22:25:59.627850,2025-09-15 22:25:59.627850,alice,bob,2,2,64,2.22,open,11,1
60,Deploy microservice,Create responsive landing page for product X using Figma mockups.,2025-09-09 22:25:59.627850,2025-09-23 22:25:59.627850,charlie,diana,2,4,20,1.43,in_progress,14,1
61,Optimize DB queries,Plan sprint items and assign tasks to frontend/backend teams.,2025-10-13 22:25:59.627850,2025-10-14 22:25:59.627850,diana,diana,2,1,95,1.84,in_progress,1,0
62,Optimize DB queries,Investigate new ML library for text embeddings and feasibility.,2025-09-30 22:25:59.627850,2025-10-18 22:25:59.627850,bob,diana,0,2,74,2.46,open,18,0
63,Optimize DB queries,Respond to important client email about billing dispute.,2025-09-25 22:25:59.627850,2025-10-08 22:25:59.627850,bob,diana,0,2,164,2.9,in_progress,13,1
64,Plan sprint,Plan sprint items and assign tasks to frontend/backend teams.,2025-09-25 22:25:59.627850,2025-09-26 22:25:59.627850,alice,diana,2,2,123,1.32,in_progress,1,1
65,Optimize DB queries,Respond to important client email about billing dispute.,2025-08-27 22:25:59.627850,2025-09-11 22:25:59.627850,charlie,charlie,0,12,102,1.75,in_progress,15,1
66,Update dependencies,Create responsive landing page for product X using Figma mockups.,2025-09-13 22:25:59.627850,2025-09-14 22:25:59.627850,alice,charlie,2,2,171,0.81,done,1,0
67,Fix login bug,User cannot login with social auth. Error 500 observed on POST /auth.,2025-10-13 22:25:59.627850,2025-10-21 22:25:59.627850,bob,alice,2,6,44,1.57,in_progress,8,0
68,Design landing page,Plan sprint items and assign tasks to frontend/backend teams.,2025-10-13 22:25:59.627850,2025-10-20 22:25:59.627850,diana,charlie,1,12,99,1.26,done,7,0
69,Design landing page,Gather sales data and prepare report for stakeholders by Friday.,2025-09-02 22:25:59.627850,2025-09-06 22:25:59.627850,alice,charlie,1,6,178,4.59,in_progress,4,1
70,Optimize DB queries,Deploy new service to production cluster and monitor for errors.,2025-08-18 22:25:59.627850,2025-09-06 22:25:59.627850,bob,alice,0,8,82,4.33,done,19,0
71,Design landing page,Plan sprint items and assign tasks to frontend/backend teams.,2025-10-03 22:25:59.627850,2025-10-05 22:25:59.627850,charlie,diana,2,8,99,0.81,done,2,0
72,Customer email reply,User cannot login with social auth. Error 500 observed on POST /auth.,2025-10-07 22:25:59.627850,2025-10-21 22:25:59.627850,diana,alice,0,4,97,3.36,in_progress,14,0
73,Prepare monthly report,Optimize slow queries causing high CPU usage on replica DB.,2025-08-25 22:25:59.627850,2025-09-11 22:25:59.627850,charlie,diana,0,4,116,4.22,done,17,0
74,Update dependencies,Respond to important client email about billing dispute.,2025-10-07 22:25:59.627850,2025-10-15 22:25:59.627850,alice,charlie,0,4,67,3.88,done,8,0
75,Plan sprint,Optimize slow queries causing high CPU usage on replica DB.,2025-09-04 22:25:59.627850,2025-09-05 22:25:59.627850,diana,charlie,2,2,129,1.45,in_progress,1,1
76,Customer email reply,Update package.json dependencies and run compatibility tests.,2025-10-09 22:25:59.627850,2025-10-29 22:25:59.627850,charlie,alice,0,6,53,0.89,done,20,0
77,Optimize DB queries,Write unit tests for payment module to improve coverage.,2025-09-18 22:25:59.627850,2025-09-26 22:25:59.627850,diana,diana,0,4,9,0.92,open,8,1
78,Optimize DB queries,Deploy new service to production cluster and monitor for errors.,2025-09-02 22:25:59.627850,2025-09-21 22:25:59.627850,charlie,diana,0,6,140,2.05,done,19,0
79,Research new lib,Respond to important client email about billing dispute.,2025-09-05 22:25:59.627850,2025-09-20 22:25:59.627850,charlie,charlie,0,3,64,1.04,open,15,1
80,Customer email reply,Create responsive landing page for product X using Figma mockups.,2025-09-30 22:25:59.627850,2025-10-18 22:25:59.627850,bob,bob,0,2,194,2.68,done,18,0
81,Plan sprint,Investigate new ML library for text embeddings and feasibility.,2025-09-21 22:25:59.627850,2025-10-01 22:25:59.627850,alice,bob,0,3,63,2.12,in_progress,10,1
82,Fix login bug,Investigate new ML library for text embeddings and feasibility.,2025-08-22 22:25:59.627850,2025-08-31 22:25:59.627850,alice,alice,2,6,79,3.64,open,9,1
83,Write unit tests,Create responsive landing page for product X using Figma mockups.,2025-10-08 22:25:59.627850,2025-10-09 22:25:59.627850,charlie,diana,2,4,117,2.03,open,1,1
84,Update dependencies,Write unit tests for payment module to improve coverage.,2025-08-21 22:25:59.627850,2025-08-24 22:25:59.627850,diana,diana,2,1,152,3.33,open,3,1
85,Prepare monthly report,Gather sales data and prepare report for stakeholders by Friday.,2025-10-04 22:25:59.627850,2025-10-23 22:25:59.627850,charlie,alice,0,2,35,3.01,in_progress,19,0
86,Plan sprint,Plan sprint items and assign tasks to frontend/backend teams.,2025-10-03 22:25:59.627850,2025-10-23 22:25:59.627850,bob,diana,0,4,118,1.84,done,20,0
87,Optimize DB queries,Update package.json dependencies and run compatibility tests.,2025-09-19 22:25:59.627850,2025-10-09 22:25:59.627850,alice,alice,0,12,58,3.31,in_progress,20,1
88,Design landing page,Gather sales data and prepare report for stakeholders by Friday.,2025-08-29 22:25:59.627850,2025-09-04 22:25:59.627850,alice,bob,1,1,109,2.53,done,6,0
89,Write unit tests,Update package.json dependencies and run compatibility tests.,2025-08-16 22:25:59.627850,2025-08-24 22:25:59.627850,charlie,charlie,0,8,121,0.82,open,8,1
90,Update dependencies,Plan sprint items and assign tasks to frontend/backend teams.,2025-09-25 22:25:59.627850,2025-10-02 22:25:59.627850,diana,alice,1,6,62,3.41,in_progress,7,1
91,Prepare monthly report,Create responsive landing page for product X using Figma mockups.,2025-08-17 22:25:59.627850,2025-08-23 22:25:59.627850,charlie,charlie,1,4,36,2.61,in_progress,6,1
92,Optimize DB queries,Update package.json dependencies and run compatibility tests.,2025-09-15 22:25:59.627850,2025-10-03 22:25:59.627850,diana,diana,0,1,158,0.68,in_progress,18,1
93,Customer email reply,Plan sprint items and assign tasks to frontend/backend teams.,2025-08-30 22:25:59.627850,2025-08-31 22:25:59.627850,alice,bob,2,8,152,3.14,open,1,1
94,Update dependencies,Plan sprint items and assign tasks to frontend/backend teams.,2025-08-16 22:25:59.627850,2025-08-22 22:25:59.627850,diana,diana,1,3,51,4.99,in_progress,6,1
95,Write unit tests,Create responsive landing page for product X using Figma mockups.,2025-09-13 22:25:59.627850,2025-09-25 22:25:59.627850,diana,charlie,0,3,176,0.97,open,12,1
96,Customer email reply,Optimize slow queries causing high CPU usage on replica DB.,2025-09-27 22:25:59.627850,2025-10-13 22:25:59.627850,charlie,diana,0,12,199,2.98,in_progress,16,1
97,Design landing page,Respond to important client email about billing dispute.,2025-08-30 22:25:59.627850,2025-09-10 22:25:59.627850,alice,diana,0,12,136,4.21,open,11,1
98,Research new lib,Write unit tests for payment module to improve coverage.,2025-09-09 22:25:59.627850,2025-09-11 22:25:59.627850,bob,charlie,2,6,198,2.74,in_progress,2,1
99,Fix login bug,Deploy new service to production cluster and monitor for errors.,2025-08-31 22:25:59.627850,2025-09-18 22:25:59.627850,bob,charlie,2,4,183,2.68,open,18,1
100,Plan sprint,Deploy new service to production cluster and monitor for errors.,2025-09-28 22:25:59.627850,2025-10-04 22:25:59.627850,charlie,alice,1,6,109,0.92,open,6,1
101,Write unit tests,Create responsive landing page for product X using Figma mockups.,2025-09-24 22:25:59.627850,2025-09-29 22:25:59.627850,diana,charlie,1,6,185,1.73,in_progress,5,1
102,Write unit tests,Deploy new service to production cluster and monitor for errors.,2025-09-12 22:25:59.627850,2025-09-30 22:25:59.627850,bob,diana,0,2,158,2.79,open,18,1
103,Design landing page,Update package.json dependencies and run compatibility tests.,2025-10-02 22:25:59.627850,2025-10-16 22:25:59.627850,charlie,charlie,0,12,5,1.77,in_progress,14,0
104,Plan sprint,Plan sprint items and assign tasks to frontend/backend teams.,2025-09-25 22:25:59.627850,2025-10-11 22:25:59.627850,bob,diana,0,6,128,2.05,done,16,0
105,Research new lib,Optimize slow queries causing high CPU usage on replica DB.,2025-09-12 22:25:59.627850,2025-09-23 22:25:59.627850,bob,bob,0,6,103,1.55,in_progress,11,1
106,Fix login bug,Respond to important client email about billing dispute.,2025-09-30 22:25:59.627850,2025-10-16 22:25:59.627850,diana,diana,2,8,171,4.91,in_progress,16,0
107,Fix login bug,Gather sales data and prepare report for stakeholders by Friday.,2025-09-15 22:25:59.627850,2025-10-04 22:25:59.627850,charlie,alice,2,12,117,0.95,in_progress,19,1
108,Fix login bug,Gather sales data and prepare report for stakeholders by Friday.,2025-09-09 22:25:59.627850,2025-09-14 22:25:59.627850,alice,diana,2,12,72,2.02,done,5,0
109,Optimize DB queries,Create responsive landing page for product X using Figma mockups.,2025-10-07 22:25:59.627850,2025-10-18 22:25:59.627850,diana,charlie,0,8,188,4.49,in_progress,11,0
110,Research new lib,User cannot login with social auth. Error 500 observed on POST /auth.,2025-09-22 22:25:59.627850,2025-09-25 22:25:59.627850,bob,charlie,2,2,196,0.91,open,3,1
111,Design landing page,Write unit tests for payment module to improve coverage.,2025-08-24 22:25:59.627850,2025-09-03 22:25:59.627850,alice,alice,0,3,19,1.82,in_progress,10,1
112,Optimize DB queries,Gather sales data and prepare report for stakeholders by Friday.,2025-08-29 22:25:59.627850,2025-09-15 22:25:59.627850,diana,bob,0,2,49,0.86,in_progress,17,1
113,Plan sprint,Deploy new service to production cluster and monitor for errors.,2025-09-14 22:25:59.627850,2025-10-03 22:25:59.627850,bob,bob,0,4,168,1.64,in_progress,19,1
114,Fix login bug,Write unit tests for payment module to improve coverage.,2025-10-10 22:25:59.627850,2025-10-20 22:25:59.627850,bob,alice,2,4,93,4.94,in_progress,10,0
115,Optimize DB queries,Update package.json dependencies and run compatibility tests.,2025-09-12 22:25:59.627850,2025-09-22 22:25:59.627850,bob,diana,0,12,128,0.98,in_progress,10,1
116,Plan sprint,Respond to important client email about billing dispute.,2025-09-19 22:25:59.627850,2025-09-29 22:25:59.627850,charlie,alice,0,12,173,2.28,open,10,1
117,Plan sprint,User cannot login with social auth. Error 500 observed on POST /auth.,2025-10-11 22:25:59.627850,2025-10-31 22:25:59.627850,diana,charlie,0,12,63,3.23,in_progress,20,0
118,Deploy microservice,Deploy new service to production cluster and monitor for errors.,2025-09-22 22:25:59.627850,2025-10-01 22:25:59.627850,bob,alice,2,8,170,0.68,in_progress,9,1
119,Fix login bug,Plan sprint items and assign tasks to frontend/backend teams.,2025-09-06 22:25:59.627850,2025-09-11 22:25:59.627850,alice,charlie,2,3,196,2.37,open,5,1
120,Prepare monthly report,Investigate new ML library for text embeddings and feasibility.,2025-10-09 22:25:59.627850,2025-10-21 22:25:59.627850,charlie,bob,0,3,128,4.85,in_progress,12,0
121,Customer email reply,Create responsive landing page for product X using Figma mockups.,2025-09-12 22:25:59.627850,2025-09-15 22:25:59.627850,bob,bob,2,12,178,3.76,in_progress,3,1
122,Research new lib,Respond to important client email about billing dispute.,2025-08-19 22:25:59.627850,2025-09-01 22:25:59.627850,alice,charlie,0,6,36,2.55,done,13,0
123,Update dependencies,Plan sprint items and assign tasks to frontend/backend teams.,2025-09-07 22:25:59.627850,2025-09-19 22:25:59.627850,alice,bob,0,4,11,3.29,done,12,0
124,Customer email reply,Plan sprint items and assign tasks to frontend/backend teams.,2025-08-28 22:25:59.627850,2025-08-31 22:25:59.627850,diana,charlie,2,8,109,1.03,open,3,1
125,Fix login bug,Update package.json dependencies and run compatibility tests.,2025-09-14 22:25:59.627850,2025-09-18 22:25:59.627850,alice,bob,2,6,39,2.25,in_progress,4,1
126,Research new lib,Optimize slow queries causing high CPU usage on replica DB.,2025-09-20 22:25:59.627850,2025-09-25 22:25:59.627850,diana,alice,1,12,130,3.27,in_progress,5,1
127,Fix login bug,Respond to important client email about billing dispute.,2025-08-27 22:25:59.627850,2025-09-11 22:25:59.627850,diana,bob,2,12,97,0.95,done,15,0
128,Customer email reply,Investigate new ML library for text embeddings and feasibility.,2025-10-10 22:25:59.627850,2025-10-22 22:25:59.627850,alice,diana,0,3,53,4.86,in_progress,12,0
129,Design landing page,Deploy new service to production cluster and monitor for errors.,2025-09-24 22:25:59.627850,2025-10-14 22:25:59.627850,alice,alice,0,12,90,1.6,open,20,0
130,Plan sprint,Deploy new service to production cluster and monitor for errors.,2025-08-18 22:25:59.627850,2025-09-05 22:25:59.627850,bob,bob,0,12,64,1.98,open,18,1
131,Plan sprint,User cannot login with social auth. Error 500 observed on POST /auth.,2025-08-31 22:25:59.627850,2025-09-05 22:25:59.627850,bob,charlie,1,12,49,0.99,open,5,1
132,Prepare monthly report,User cannot login with social auth. Error 500 observed on POST /auth.,2025-09-05 22:25:59.627850,2025-09-13 22:25:59.627850,charlie,alice,0,2,72,0.74,done,8,0
133,Optimize DB queries,Investigate new ML library for text embeddings and feasibility.,2025-08-21 22:25:59.627850,2025-08-24 22:25:59.627850,diana,diana,2,12,97,2.81,open,3,1
134,Write unit tests,Investigate new ML library for text embeddings and feasibility.,2025-08-28 22:25:59.627850,2025-09-17 22:25:59.627850,alice,charlie,0,4,169,4.84,open,20,1
135,Write unit tests,Optimize slow queries causing high CPU usage on replica DB.,2025-09-10 22:25:59.627850,2025-09-14 22:25:59.627850,diana,diana,1,1,25,1.95,open,4,1
136,Design landing page,Gather sales data and prepare report for stakeholders by Friday.,2025-08-31 22:25:59.627850,2025-09-20 22:25:59.627850,charlie,diana,0,6,140,1.83,done,20,0
137,Plan sprint,Optimize slow queries causing high CPU usage on replica DB.,2025-08-20 22:25:59.627850,2025-08-24 22:25:59.627850,bob,diana,1,4,63,2.36,in_progress,4,1
138,Optimize DB queries,Optimize slow queries causing high CPU usage on replica DB.,2025-09-29 22:25:59.627850,2025-10-03 22:25:59.627850,charlie,diana,1,3,175,1.65,open,4,1
139,Write unit tests,Create responsive landing page for product X using Figma mockups.,2025-08-19 22:25:59.627850,2025-08-22 22:25:59.627850,alice,diana,2,1,195,3.82,open,3,1
140,Research new lib,User cannot login with social auth. Error 500 observed on POST /auth.,2025-09-20 22:25:59.627850,2025-10-08 22:25:59.627850,charlie,alice,0,4,95,4.43,in_progress,18,1
141,Fix login bug,Update package.json dependencies and run compatibility tests.,2025-09-21 22:25:59.627850,2025-10-01 22:25:59.627850,charlie,alice,2,6,134,1.46,done,10,0
142,Write unit tests,Deploy new service to production cluster and monitor for errors.,2025-10-07 22:25:59.627850,2025-10-11 22:25:59.627850,charlie,charlie,1,1,200,1.75,open,4,1
143,Optimize DB queries,Investigate new ML library for text embeddings and feasibility.,2025-10-02 22:25:59.627850,2025-10-22 22:25:59.627850,alice,charlie,0,1,51,1.73,in_progress,20,0
144,Customer email reply,Respond to important client email about billing dispute.,2025-08-14 22:25:59.627850,2025-08-20 22:25:59.627850,bob,diana,1,1,41,3.83,open,6,1
145,Design landing page,Investigate new ML library for text embeddings and feasibility.,2025-08-27 22:25:59.627850,2025-09-09 22:25:59.627850,diana,diana,0,3,45,2.17,done,13,0
146,Customer email reply,Plan sprint items and assign tasks to frontend/backend teams.,2025-09-21 22:25:59.627850,2025-09-24 22:25:59.627850,alice,bob,2,2,198,3.28,done,3,0
147,Design landing page,Update package.json dependencies and run compatibility tests.,2025-09-11 22:25:59.627850,2025-09-25 22:25:59.627850,diana,diana,0,4,74,1.47,done,14,0
148,Design landing page,Respond to important client email about billing dispute.,2025-09-10 22:25:59.627850,2025-09-14 22:25:59.627850,charlie,diana,1,6,175,1.89,open,4,1
149,Optimize DB queries,Plan sprint items and assign tasks to frontend/backend teams.,2025-08-17 22:25:59.627850,2025-08-18 22:25:59.627850,bob,charlie,2,2,40,3.94,in_progress,1,1
150,Customer email reply,Create responsive landing page for product X using Figma mockups.,2025-08-14 22:25:59.627850,2025-08-30 22:25:59.627850,diana,bob,0,2,102,2.9,open,16,1
151,Research new lib,Investigate new ML library for text embeddings and feasibility.,2025-10-06 22:25:59.627850,2025-10-18 22:25:59.627850,alice,diana,0,12,194,0.69,open,12,0
152,Write unit tests,Create responsive landing page for product X using Figma mockups.,2025-10-08 22:25:59.627850,2025-10-19 22:25:59.627850,diana,diana,0,8,168,2.38,open,11,0
153,Optimize DB queries,User cannot login with social auth. Error 500 observed on POST /auth.,2025-09-03 22:25:59.627850,2025-09-09 22:25:59.627850,diana,charlie,1,1,116,4.3,open,6,1
154,Optimize DB queries,Plan sprint items and assign tasks to frontend/backend teams.,2025-09-08 22:25:59.627850,2025-09-25 22:25:59.627850,alice,diana,0,12,84,3.86,open,17,1
155,Customer email reply,Gather sales data and prepare report for stakeholders by Friday.,2025-08-18 22:25:59.627850,2025-09-04 22:25:59.627850,alice,bob,0,12,94,2.08,done,17,0
156,Prepare monthly report,Deploy new service to production cluster and monitor for errors.,2025-08-20 22:25:59.627850,2025-08-25 22:25:59.627850,charlie,bob,1,2,159,1.19,done,5,0
157,Design landing page,Gather sales data and prepare report for stakeholders by Friday.,2025-10-13 22:25:59.627850,2025-10-29 22:25:59.627850,diana,diana,0,8,149,3.39,done,16,0
158,Customer email reply,Respond to important client email about billing dispute.,2025-08-23 22:25:59.627850,2025-09-07 22:25:59.627850,alice,diana,0,4,166,1.86,in_progress,15,1
159,Plan sprint,User cannot login with social auth. Error 500 observed on POST /auth.,2025-09-05 22:25:59.627850,2025-09-22 22:25:59.627850,alice,charlie,0,4,120,0.67,in_progress,17,1
160,Update dependencies,Create responsive landing page for product X using Figma mockups.,2025-09-24 22:25:59.627850,2025-09-27 22:25:59.627850,diana,diana,2,6,146,4.79,done,3,0
161,Fix login bug,Write unit tests for payment module to improve coverage.,2025-10-11 22:25:59.627850,2025-10-30 22:25:59.627850,bob,charlie,2,6,126,2.76,open,19,0
