task_id,title,description,created_at,due_date,creator,assignee,priority,workload_hours,assignee_completed_tasks,assignee_avg_completion_days,status,days_to_due,is_overdue,text_raw,tokens,stems,lemmas
16,Update dependencies,Investigate new ML library for text embeddings and feasibility.,2025-10-01 22:25:59.627850,2025-10-07 22:25:59.627850,alice,charlie,1,12,168,2.78,open,6,1,Update dependencies. Investigate new ML library for text embeddings and feasibility.,"['update', 'dependencies', 'investigate', 'new', 'ml', 'library', 'text', 'embeddings', 'feasibility']",updat depend investig new ml librari text embed feasibl,update dependency investigate new ml library text embeddings feasibility
17,Prepare monthly report,Respond to important client email about billing dispute.,2025-10-01 22:25:59.627850,2025-10-07 22:25:59.627850,alice,charlie,1,4,9,1.0,in_progress,6,1,Prepare monthly report. Respond to important client email about billing dispute.,"['prepare', 'monthly', 'report', 'respond', 'important', 'client', 'email', 'billing', 'dispute']",prepar monthli report respond import client email bill disput,prepare monthly report respond important client email billing dispute
18,Update dependencies,Deploy new service to production cluster and monitor for errors.,2025-08-17 22:25:59.627850,2025-08-25 22:25:59.627850,alice,alice,0,8,129,4.17,done,8,0,Update dependencies. Deploy new service to production cluster and monitor for errors.,"['update', 'dependencies', 'deploy', 'new', 'service', 'production', 'cluster', 'monitor', 'errors']",updat depend deploy new servic product cluster monitor error,update dependency deploy new service production cluster monitor error
19,Prepare monthly report,Gather sales data and prepare report for stakeholders by Friday.,2025-09-25 22:25:59.627850,2025-10-11 22:25:59.627850,bob,charlie,0,6,160,2.4,open,16,1,Prepare monthly report. Gather sales data and prepare report for stakeholders by Friday.,"['prepare', 'monthly', 'report', 'gather', 'sales', 'data', 'prepare', 'report', 'stakeholders', 'friday']",prepar monthli report gather sale data prepar report stakehold friday,prepare monthly report gather sale data prepare report stakeholder friday
20,Research new lib,Deploy new service to production cluster and monitor for errors.,2025-09-28 22:25:59.627850,2025-10-08 22:25:59.627850,diana,charlie,0,4,137,2.53,open,10,1,Research new lib. Deploy new service to production cluster and monitor for errors.,"['research', 'new', 'lib', 'deploy', 'new', 'service', 'production', 'cluster', 'monitor', 'errors']",research new lib deploy new servic product cluster monitor error,research new lib deploy new service production cluster monitor error
21,Deploy microservice,Create responsive landing page for product X using Figma mockups.,2025-09-04 22:25:59.627850,2025-09-05 22:25:59.627850,bob,bob,2,1,23,3.69,open,1,1,Deploy microservice. Create responsive landing page for product X using Figma mockups.,"['deploy', 'microservice', 'create', 'responsive', 'landing', 'page', 'product', 'using', 'figma', 'mockups']",deploy microservic creat respons land page product use figma mockup,deploy microservice create responsive landing page product using figma mockups
22,Deploy microservice,Create responsive landing page for product X using Figma mockups.,2025-10-10 22:25:59.627850,2025-10-12 22:25:59.627850,charlie,alice,2,6,65,1.75,in_progress,2,1,Deploy microservice. Create responsive landing page for product X using Figma mockups.,"['deploy', 'microservice', 'create', 'responsive', 'landing', 'page', 'product', 'using', 'figma', 'mockups']",deploy microservic creat respons land page product use figma mockup,deploy microservice create responsive landing page product using figma mockups
23,Deploy microservice,Investigate new ML library for text embeddings and feasibility.,2025-08-22 22:25:59.627850,2025-09-10 22:25:59.627850,diana,bob,2,12,126,4.13,open,19,1,Deploy microservice. Investigate new ML library for text embeddings and feasibility.,"['deploy', 'microservice', 'investigate', 'new', 'ml', 'library', 'text', 'embeddings', 'feasibility']",deploy microservic investig new ml librari text embed feasibl,deploy microservice investigate new ml library text embeddings feasibility
24,Design landing page,Create responsive landing page for product X using Figma mockups.,2025-09-25 22:25:59.627850,2025-10-09 22:25:59.627850,charlie,diana,0,4,124,4.39,open,14,1,Design landing page. Create responsive landing page for product X using Figma mockups.,"['design', 'landing', 'page', 'create', 'responsive', 'landing', 'page', 'product', 'using', 'figma', 'mockups']",design land page creat respons land page product use figma mockup,design landing page create responsive landing page product using figma mockups
25,Design landing page,User cannot login with social auth. Error 500 observed on POST /auth.,2025-09-08 22:25:59.627850,2025-09-19 22:25:59.627850,alice,bob,0,2,53,2.91,open,11,1,Design landing page. User cannot login with social auth. Error 500 observed on POST /auth.,"['design', 'landing', 'page', 'user', 'login', 'social', 'auth', 'error', '500', 'observed', 'post', 'auth']",design land page user login social auth error 500 observ post auth,design landing page user login social auth error 500 observed post auth
26,Optimize DB queries,Gather sales data and prepare report for stakeholders by Friday.,2025-08-31 22:25:59.627850,2025-09-15 22:25:59.627850,bob,alice,0,4,145,0.94,done,15,0,Optimize DB queries. Gather sales data and prepare report for stakeholders by Friday.,"['optimize', 'db', 'queries', 'gather', 'sales', 'data', 'prepare', 'report', 'stakeholders', 'friday']",optim db queri gather sale data prepar report stakehold friday,optimize db query gather sale data prepare report stakeholder friday
27,Research new lib,User cannot login with social auth. Error 500 observed on POST /auth.,2025-08-19 22:25:59.627850,2025-08-27 22:25:59.627850,bob,diana,0,4,128,1.46,in_progress,8,1,Research new lib. User cannot login with social auth. Error 500 observed on POST /auth.,"['research', 'new', 'lib', 'user', 'login', 'social', 'auth', 'error', '500', 'observed', 'post', 'auth']",research new lib user login social auth error 500 observ post auth,research new lib user login social auth error 500 observed post auth
28,Fix login bug,Gather sales data and prepare report for stakeholders by Friday.,2025-09-07 22:25:59.627850,2025-09-08 22:25:59.627850,diana,charlie,2,12,121,1.78,done,1,0,Fix login bug. Gather sales data and prepare report for stakeholders by Friday.,"['fix', 'login', 'bug', 'gather', 'sales', 'data', 'prepare', 'report', 'stakeholders', 'friday']",fix login bug gather sale data prepar report stakehold friday,fix login bug gather sale data prepare report stakeholder friday
29,Research new lib,Write unit tests for payment module to improve coverage.,2025-08-23 22:25:59.627850,2025-08-30 22:25:59.627850,charlie,bob,1,1,153,3.81,open,7,1,Research new lib. Write unit tests for payment module to improve coverage.,"['research', 'new', 'lib', 'write', 'unit', 'tests', 'payment', 'module', 'improve', 'coverage']",research new lib write unit test payment modul improv coverag,research new lib write unit test payment module improve coverage
30,Customer email reply,User cannot login with social auth. Error 500 observed on POST /auth.,2025-08-17 22:25:59.627850,2025-09-05 22:25:59.627850,diana,bob,0,1,135,0.86,open,19,1,Customer email reply. User cannot login with social auth. Error 500 observed on POST /auth.,"['customer', 'email', 'reply', 'user', 'login', 'social', 'auth', 'error', '500', 'observed', 'post', 'auth']",custom email repli user login social auth error 500 observ post auth,customer email reply user login social auth error 500 observed post auth
31,Design landing page,Plan sprint items and assign tasks to frontend/backend teams.,2025-08-18 22:25:59.627850,2025-08-26 22:25:59.627850,diana,alice,0,6,68,3.11,open,8,1,Design landing page. Plan sprint items and assign tasks to frontend/backend teams.,"['design', 'landing', 'page', 'plan', 'sprint', 'items', 'assign', 'tasks', 'frontend', 'backend', 'teams']",design land page plan sprint item assign task frontend backend team,design landing page plan sprint item assign task frontend backend team
32,Plan sprint,Create responsive landing page for product X using Figma mockups.,2025-09-09 22:25:59.627850,2025-09-28 22:25:59.627850,charlie,charlie,0,2,176,3.72,open,19,1,Plan sprint. Create responsive landing page for product X using Figma mockups.,"['plan', 'sprint', 'create', 'responsive', 'landing', 'page', 'product', 'using', 'figma', 'mockups']",plan sprint creat respons land page product use figma mockup,plan sprint create responsive landing page product using figma mockups
33,Update dependencies,Optimize slow queries causing high CPU usage on replica DB.,2025-08-22 22:25:59.627850,2025-09-01 22:25:59.627850,diana,charlie,0,12,23,0.54,done,10,0,Update dependencies. Optimize slow queries causing high CPU usage on replica DB.,"['update', 'dependencies', 'optimize', 'slow', 'queries', 'causing', 'high', 'cpu', 'usage', 'replica', 'db']",updat depend optim slow queri caus high cpu usag replica db,update dependency optimize slow query causing high cpu usage replica db
34,Plan sprint,Create responsive landing page for product X using Figma mockups.,2025-08-18 22:25:59.627850,2025-09-05 22:25:59.627850,bob,charlie,0,2,94,4.46,open,18,1,Plan sprint. Create responsive landing page for product X using Figma mockups.,"['plan', 'sprint', 'create', 'responsive', 'landing', 'page', 'product', 'using', 'figma', 'mockups']",plan sprint creat respons land page product use figma mockup,plan sprint create responsive landing page product using figma mockups
35,Customer email reply,Update package.json dependencies and run compatibility tests.,2025-08-24 22:25:59.627850,2025-09-08 22:25:59.627850,charlie,alice,0,8,146,1.85,done,15,0,Customer email reply. Update package.json dependencies and run compatibility tests.,"['customer', 'email', 'reply', 'update', 'package', 'json', 'dependencies', 'run', 'compatibility', 'tests']",custom email repli updat packag json depend run compat test,customer email reply update package json dependency run compatibility test
36,Design landing page,Gather sales data and prepare report for stakeholders by Friday.,2025-08-30 22:25:59.627850,2025-09-03 22:25:59.627850,alice,bob,1,3,77,3.22,done,4,0,Design landing page. Gather sales data and prepare report for stakeholders by Friday.,"['design', 'landing', 'page', 'gather', 'sales', 'data', 'prepare', 'report', 'stakeholders', 'friday']",design land page gather sale data prepar report stakehold friday,design landing page gather sale data prepare report stakeholder friday
37,Customer email reply,Deploy new service to production cluster and monitor for errors.,2025-09-26 22:25:59.627850,2025-10-05 22:25:59.627850,diana,charlie,0,12,18,0.92,in_progress,9,1,Customer email reply. Deploy new service to production cluster and monitor for errors.,"['customer', 'email', 'reply', 'deploy', 'new', 'service', 'production', 'cluster', 'monitor', 'errors']",custom email repli deploy new servic product cluster monitor error,customer email reply deploy new service production cluster monitor error
38,Update dependencies,User cannot login with social auth. Error 500 observed on POST /auth.,2025-08-14 22:25:59.627850,2025-08-25 22:25:59.627850,bob,charlie,0,2,194,2.49,done,11,0,Update dependencies. User cannot login with social auth. Error 500 observed on POST /auth.,"['update', 'dependencies', 'user', 'login', 'social', 'auth', 'error', '500', 'observed', 'post', 'auth']",updat depend user login social auth error 500 observ post auth,update dependency user login social auth error 500 observed post auth
39,Optimize DB queries,Investigate new ML library for text embeddings and feasibility.,2025-08-14 22:25:59.627850,2025-08-18 22:25:59.627850,alice,bob,1,6,14,4.26,done,4,0,Optimize DB queries. Investigate new ML library for text embeddings and feasibility.,"['optimize', 'db', 'queries', 'investigate', 'new', 'ml', 'library', 'text', 'embeddings', 'feasibility']",optim db queri investig new ml librari text embed feasibl,optimize db query investigate new ml library text embeddings feasibility
40,Research new lib,Gather sales data and prepare report for stakeholders by Friday.,2025-09-10 22:25:59.627850,2025-09-15 22:25:59.627850,alice,charlie,1,3,15,4.55,open,5,1,Research new lib. Gather sales data and prepare report for stakeholders by Friday.,"['research', 'new', 'lib', 'gather', 'sales', 'data', 'prepare', 'report', 'stakeholders', 'friday']",research new lib gather sale data prepar report stakehold friday,research new lib gather sale data prepare report stakeholder friday
41,Deploy microservice,Create responsive landing page for product X using Figma mockups.,2025-09-05 22:25:59.627850,2025-09-23 22:25:59.627850,diana,bob,2,2,46,4.89,open,18,1,Deploy microservice. Create responsive landing page for product X using Figma mockups.,"['deploy', 'microservice', 'create', 'responsive', 'landing', 'page', 'product', 'using', 'figma', 'mockups']",deploy microservic creat respons land page product use figma mockup,deploy microservice create responsive landing page product using figma mockups
42,Optimize DB queries,User cannot login with social auth. Error 500 observed on POST /auth.,2025-08-25 22:25:59.627850,2025-09-05 22:25:59.627850,diana,bob,0,3,45,4.04,open,11,1,Optimize DB queries. User cannot login with social auth. Error 500 observed on POST /auth.,"['optimize', 'db', 'queries', 'user', 'login', 'social', 'auth', 'error', '500', 'observed', 'post', 'auth']",optim db queri user login social auth error 500 observ post auth,optimize db query user login social auth error 500 observed post auth
43,Optimize DB queries,User cannot login with social auth. Error 500 observed on POST /auth.,2025-10-07 22:25:59.627850,2025-10-23 22:25:59.627850,bob,bob,0,12,122,2.07,open,16,0,Optimize DB queries. User cannot login with social auth. Error 500 observed on POST /auth.,"['optimize', 'db', 'queries', 'user', 'login', 'social', 'auth', 'error', '500', 'observed', 'post', 'auth']",optim db queri user login social auth error 500 observ post auth,optimize db query user login social auth error 500 observed post auth
44,Deploy microservice,User cannot login with social auth. Error 500 observed on POST /auth.,2025-09-25 22:25:59.627850,2025-10-02 22:25:59.627850,diana,charlie,2,3,22,4.85,in_progress,7,1,Deploy microservice. User cannot login with social auth. Error 500 observed on POST /auth.,"['deploy', 'microservice', 'user', 'login', 'social', 'auth', 'error', '500', 'observed', 'post', 'auth']",deploy microservic user login social auth error 500 observ post auth,deploy microservice user login social auth error 500 observed post auth
45,Customer email reply,Investigate new ML library for text embeddings and feasibility.,2025-09-08 22:25:59.627850,2025-09-26 22:25:59.627850,charlie,alice,0,1,71,1.3,in_progress,18,1,Customer email reply. Investigate new ML library for text embeddings and feasibility.,"['customer', 'email', 'reply', 'investigate', 'new', 'ml', 'library', 'text', 'embeddings', 'feasibility']",custom email repli investig new ml librari text embed feasibl,customer email reply investigate new ml library text embeddings feasibility
46,Fix login bug,Create responsive landing page for product X using Figma mockups.,2025-09-21 22:25:59.627850,2025-10-05 22:25:59.627850,charlie,charlie,2,4,160,4.93,open,14,1,Fix login bug. Create responsive landing page for product X using Figma mockups.,"['fix', 'login', 'bug', 'create', 'responsive', 'landing', 'page', 'product', 'using', 'figma', 'mockups']",fix login bug creat respons land page product use figma mockup,fix login bug create responsive landing page product using figma mockups
47,Optimize DB queries,Plan sprint items and assign tasks to frontend/backend teams.,2025-08-26 22:25:59.627850,2025-09-04 22:25:59.627850,alice,diana,0,1,138,4.67,done,9,0,Optimize DB queries. Plan sprint items and assign tasks to frontend/backend teams.,"['optimize', 'db', 'queries', 'plan', 'sprint', 'items', 'assign', 'tasks', 'frontend', 'backend', 'teams']",optim db queri plan sprint item assign task frontend backend team,optimize db query plan sprint item assign task frontend backend team
48,Deploy microservice,Respond to important client email about billing dispute.,2025-09-10 22:25:59.627850,2025-09-13 22:25:59.627850,charlie,charlie,2,8,36,3.74,in_progress,3,1,Deploy microservice. Respond to important client email about billing dispute.,"['deploy', 'microservice', 'respond', 'important', 'client', 'email', 'billing', 'dispute']",deploy microservic respond import client email bill disput,deploy microservice respond important client email billing dispute
49,Research new lib,Update package.json dependencies and run compatibility tests.,2025-09-25 22:25:59.627850,2025-10-09 22:25:59.627850,charlie,diana,0,8,80,2.99,open,14,1,Research new lib. Update package.json dependencies and run compatibility tests.,"['research', 'new', 'lib', 'update', 'package', 'json', 'dependencies', 'run', 'compatibility', 'tests']",research new lib updat packag json depend run compat test,research new lib update package json dependency run compatibility test
50,Optimize DB queries,Optimize slow queries causing high CPU usage on replica DB.,2025-09-26 22:25:59.627850,2025-10-02 22:25:59.627850,charlie,diana,1,6,5,1.87,open,6,1,Optimize DB queries. Optimize slow queries causing high CPU usage on replica DB.,"['optimize', 'db', 'queries', 'optimize', 'slow', 'queries', 'causing', 'high', 'cpu', 'usage', 'replica', 'db']",optim db queri optim slow queri caus high cpu usag replica db,optimize db query optimize slow query causing high cpu usage replica db
51,Optimize DB queries,Plan sprint items and assign tasks to frontend/backend teams.,2025-09-21 22:25:59.627850,2025-10-02 22:25:59.627850,diana,diana,0,4,177,1.46,in_progress,11,1,Optimize DB queries. Plan sprint items and assign tasks to frontend/backend teams.,"['optimize', 'db', 'queries', 'plan', 'sprint', 'items', 'assign', 'tasks', 'frontend', 'backend', 'teams']",optim db queri plan sprint item assign task frontend backend team,optimize db query plan sprint item assign task frontend backend team
52,Prepare monthly report,Create responsive landing page for product X using Figma mockups.,2025-09-01 22:25:59.627850,2025-09-18 22:25:59.627850,charlie,alice,0,12,197,1.56,in_progress,17,1,Prepare monthly report. Create responsive landing page for product X using Figma mockups.,"['prepare', 'monthly', 'report', 'create', 'responsive', 'landing', 'page', 'product', 'using', 'figma', 'mockups']",prepar monthli report creat respons land page product use figma mockup,prepare monthly report create responsive landing page product using figma mockups
53,Deploy microservice,Deploy new service to production cluster and monitor for errors.,2025-08-23 22:25:59.627850,2025-08-24 22:25:59.627850,alice,bob,2,4,161,4.32,open,1,1,Deploy microservice. Deploy new service to production cluster and monitor for errors.,"['deploy', 'microservice', 'deploy', 'new', 'service', 'production', 'cluster', 'monitor', 'errors']",deploy microservic deploy new servic product cluster monitor error,deploy microservice deploy new service production cluster monitor error
54,Write unit tests,Optimize slow queries causing high CPU usage on replica DB.,2025-10-09 22:25:59.627850,2025-10-28 22:25:59.627850,bob,diana,0,4,107,1.6,done,19,0,Write unit tests. Optimize slow queries causing high CPU usage on replica DB.,"['write', 'unit', 'tests', 'optimize', 'slow', 'queries', 'causing', 'high', 'cpu', 'usage', 'replica', 'db']",write unit test optim slow queri caus high cpu usag replica db,write unit test optimize slow query causing high cpu usage replica db
55,Fix login bug,Create responsive landing page for product X using Figma mockups.,2025-10-02 22:25:59.627850,2025-10-16 22:25:59.627850,bob,bob,2,12,183,2.83,open,14,0,Fix login bug. Create responsive landing page for product X using Figma mockups.,"['fix', 'login', 'bug', 'create', 'responsive', 'landing', 'page', 'product', 'using', 'figma', 'mockups']",fix login bug creat respons land page product use figma mockup,fix login bug create responsive landing page product using figma mockups
56,Research new lib,Deploy new service to production cluster and monitor for errors.,2025-10-11 22:25:59.627850,2025-10-15 22:25:59.627850,diana,bob,1,12,123,3.5,done,4,0,Research new lib. Deploy new service to production cluster and monitor for errors.,"['research', 'new', 'lib', 'deploy', 'new', 'service', 'production', 'cluster', 'monitor', 'errors']",research new lib deploy new servic product cluster monitor error,research new lib deploy new service production cluster monitor error
57,Plan sprint,Respond to important client email about billing dispute.,2025-10-13 22:25:59.627850,2025-10-28 22:25:59.627850,diana,diana,0,2,195,4.38,in_progress,15,0,Plan sprint. Respond to important client email about billing dispute.,"['plan', 'sprint', 'respond', 'important', 'client', 'email', 'billing', 'dispute']",plan sprint respond import client email bill disput,plan sprint respond important client email billing dispute
58,Update dependencies,Deploy new service to production cluster and monitor for errors.,2025-10-06 22:25:59.627850,2025-10-15 22:25:59.627850,diana,bob,0,3,117,0.85,in_progress,9,0,Update dependencies. Deploy new service to production cluster and monitor for errors.,"['update', 'dependencies', 'deploy', 'new', 'service', 'production', 'cluster', 'monitor', 'errors']",updat depend deploy new servic product cluster monitor error,update dependency deploy new service production cluster monitor error
59,Deploy microservice,Update package.json dependencies and run compatibility tests.,2025-09-04 22:25:59.627850,2025-09-15 22:25:59.627850,alice,bob,2,2,64,2.22,open,11,1,Deploy microservice. Update package.json dependencies and run compatibility tests.,"['deploy', 'microservice', 'update', 'package', 'json', 'dependencies', 'run', 'compatibility', 'tests']",deploy microservic updat packag json depend run compat test,deploy microservice update package json dependency run compatibility test
60,Deploy microservice,Create responsive landing page for product X using Figma mockups.,2025-09-09 22:25:59.627850,2025-09-23 22:25:59.627850,charlie,diana,2,4,20,1.43,in_progress,14,1,Deploy microservice. Create responsive landing page for product X using Figma mockups.,"['deploy', 'microservice', 'create', 'responsive', 'landing', 'page', 'product', 'using', 'figma', 'mockups']",deploy microservic creat respons land page product use figma mockup,deploy microservice create responsive landing page product using figma mockups
61,Optimize DB queries,Plan sprint items and assign tasks to frontend/backend teams.,2025-10-13 22:25:59.627850,2025-10-14 22:25:59.627850,diana,diana,2,1,95,1.84,in_progress,1,0,Optimize DB queries. Plan sprint items and assign tasks to frontend/backend teams.,"['optimize', 'db', 'queries', 'plan', 'sprint', 'items', 'assign', 'tasks', 'frontend', 'backend', 'teams']",optim db queri plan sprint item assign task frontend backend team,optimize db query plan sprint item assign task frontend backend team
62,Optimize DB queries,Investigate new ML library for text embeddings and feasibility.,2025-09-30 22:25:59.627850,2025-10-18 22:25:59.627850,bob,diana,0,2,74,2.46,open,18,0,Optimize DB queries. Investigate new ML library for text embeddings and feasibility.,"['optimize', 'db', 'queries', 'investigate', 'new', 'ml', 'library', 'text', 'embeddings', 'feasibility']",optim db queri investig new ml librari text embed feasibl,optimize db query investigate new ml library text embeddings feasibility
63,Optimize DB queries,Respond to important client email about billing dispute.,2025-09-25 22:25:59.627850,2025-10-08 22:25:59.627850,bob,diana,0,2,164,2.9,in_progress,13,1,Optimize DB queries. Respond to important client email about billing dispute.,"['optimize', 'db', 'queries', 'respond', 'important', 'client', 'email', 'billing', 'dispute']",optim db queri respond import client email bill disput,optimize db query respond important client email billing dispute
64,Plan sprint,Plan sprint items and assign tasks to frontend/backend teams.,2025-09-25 22:25:59.627850,2025-09-26 22:25:59.627850,alice,diana,2,2,123,1.32,in_progress,1,1,Plan sprint. Plan sprint items and assign tasks to frontend/backend teams.,"['plan', 'sprint', 'plan', 'sprint', 'items', 'assign', 'tasks', 'frontend', 'backend', 'teams']",plan sprint plan sprint item assign task frontend backend team,plan sprint plan sprint item assign task frontend backend team
65,Optimize DB queries,Respond to important client email about billing dispute.,2025-08-27 22:25:59.627850,2025-09-11 22:25:59.627850,charlie,charlie,0,12,102,1.75,in_progress,15,1,Optimize DB queries. Respond to important client email about billing dispute.,"['optimize', 'db', 'queries', 'respond', 'important', 'client', 'email', 'billing', 'dispute']",optim db queri respond import client email bill disput,optimize db query respond important client email billing dispute
66,Update dependencies,Create responsive landing page for product X using Figma mockups.,2025-09-13 22:25:59.627850,2025-09-14 22:25:59.627850,alice,charlie,2,2,171,0.81,done,1,0,Update dependencies. Create responsive landing page for product X using Figma mockups.,"['update', 'dependencies', 'create', 'responsive', 'landing', 'page', 'product', 'using', 'figma', 'mockups']",updat depend creat respons land page product use figma mockup,update dependency create responsive landing page product using figma mockups
67,Fix login bug,User cannot login with social auth. Error 500 observed on POST /auth.,2025-10-13 22:25:59.627850,2025-10-21 22:25:59.627850,bob,alice,2,6,44,1.57,in_progress,8,0,Fix login bug. User cannot login with social auth. Error 500 observed on POST /auth.,"['fix', 'login', 'bug', 'user', 'login', 'social', 'auth', 'error', '500', 'observed', 'post', 'auth']",fix login bug user login social auth error 500 observ post auth,fix login bug user login social auth error 500 observed post auth
